Point	X	Y	Z
0	0.055 cm	0.327 cm	0.112 cm
1	0.054 cm	0.329 cm	0.111 cm
2	0.055 cm	0.33 cm	0.11 cm
3	0.057 cm	0.329 cm	0.111 cm
4	0.058 cm	0.327 cm	0.111 cm
5	0.057 cm	0.326 cm	0.112 cm
6	0.043 cm	0.34 cm	0.112 cm
7	0.043 cm	0.338 cm	0.113 cm
8	0.041 cm	0.34 cm	0.114 cm
9	0.042 cm	0.341 cm	0.113 cm
10	0.045 cm	0.33 cm	0.117 cm
11	0.047 cm	0.328 cm	0.117 cm
12	0.046 cm	0.329 cm	0.119 cm
13	0.045 cm	0.33 cm	0.118 cm
14	0.044 cm	0.33 cm	0.12 cm
15	0.044 cm	0.331 cm	0.119 cm
16	0.043 cm	0.336 cm	0.114 cm
17	0.043 cm	0.335 cm	0.115 cm
18	0.041 cm	0.338 cm	0.116 cm
19	0.041 cm	0.339 cm	0.115 cm
20	0.045 cm	0.334 cm	0.113 cm
21	0.045 cm	0.333 cm	0.114 cm
22	0.045 cm	0.336 cm	0.112 cm
23	0.046 cm	0.337 cm	0.111 cm
24	0.048 cm	0.334 cm	0.111 cm
25	0.047 cm	0.332 cm	0.112 cm
26	0.048 cm	0.335 cm	0.11 cm
27	0.05 cm	0.333 cm	0.11 cm
28	0.05 cm	0.332 cm	0.111 cm
29	0.052 cm	0.33 cm	0.111 cm
30	0.053 cm	0.332 cm	0.11 cm
31	0.051 cm	0.329 cm	0.112 cm
32	0.05 cm	0.33 cm	0.112 cm
33	0.053 cm	0.327 cm	0.113 cm
34	0.052 cm	0.326 cm	0.114 cm
35	0.051 cm	0.327 cm	0.114 cm
36	0.054 cm	0.326 cm	0.113 cm
37	0.053 cm	0.325 cm	0.115 cm
38	0.055 cm	0.325 cm	0.114 cm
39	0.054 cm	0.324 cm	0.116 cm
40	0.056 cm	0.324 cm	0.114 cm
41	0.055 cm	0.323 cm	0.117 cm
42	0.057 cm	0.325 cm	0.113 cm
43	0.058 cm	0.324 cm	0.113 cm
44	0.057 cm	0.323 cm	0.115 cm
45	0.059 cm	0.326 cm	0.112 cm
46	0.059 cm	0.325 cm	0.112 cm
47	0.06 cm	0.324 cm	0.113 cm
48	0.059 cm	0.323 cm	0.114 cm
49	0.043 cm	0.334 cm	0.116 cm
50	0.043 cm	0.332 cm	0.118 cm
51	0.041 cm	0.335 cm	0.119 cm
52	0.041 cm	0.336 cm	0.118 cm
53	0.045 cm	0.331 cm	0.115 cm
54	0.047 cm	0.329 cm	0.115 cm
55	0.047 cm	0.33 cm	0.114 cm
56	0.049 cm	0.329 cm	0.114 cm
57	0.049 cm	0.328 cm	0.115 cm
58	0.05 cm	0.326 cm	0.116 cm
59	0.049 cm	0.326 cm	0.118 cm
60	0.048 cm	0.327 cm	0.117 cm
61	0.051 cm	0.325 cm	0.117 cm
62	0.05 cm	0.325 cm	0.119 cm
63	0.052 cm	0.325 cm	0.117 cm
64	0.05 cm	0.324 cm	0.12 cm
65	0.052 cm	0.324 cm	0.118 cm
66	0.051 cm	0.324 cm	0.121 cm
67	0.053 cm	0.323 cm	0.119 cm
68	0.052 cm	0.323 cm	0.121 cm
69	0.054 cm	0.322 cm	0.12 cm
70	0.052 cm	0.322 cm	0.122 cm
71	0.055 cm	0.322 cm	0.117 cm
72	0.056 cm	0.321 cm	0.118 cm
73	0.054 cm	0.321 cm	0.12 cm
74	0.057 cm	0.322 cm	0.116 cm
75	0.058 cm	0.321 cm	0.116 cm
76	0.057 cm	0.32 cm	0.119 cm
77	0.06 cm	0.322 cm	0.115 cm
78	0.06 cm	0.321 cm	0.115 cm
79	0.059 cm	0.32 cm	0.117 cm
80	0.061 cm	0.323 cm	0.113 cm
81	0.062 cm	0.322 cm	0.114 cm
82	0.042 cm	0.332 cm	0.122 cm
83	0.042 cm	0.334 cm	0.121 cm
84	0.045 cm	0.329 cm	0.121 cm
85	0.043 cm	0.331 cm	0.123 cm
86	0.046 cm	0.328 cm	0.123 cm
87	0.043 cm	0.33 cm	0.125 cm
88	0.047 cm	0.327 cm	0.119 cm
89	0.048 cm	0.327 cm	0.12 cm
90	0.048 cm	0.326 cm	0.121 cm
91	0.046 cm	0.327 cm	0.124 cm
92	0.049 cm	0.325 cm	0.122 cm
93	0.047 cm	0.326 cm	0.125 cm
94	0.049 cm	0.324 cm	0.123 cm
95	0.048 cm	0.325 cm	0.126 cm
96	0.05 cm	0.323 cm	0.124 cm
97	0.048 cm	0.325 cm	0.127 cm
98	0.051 cm	0.323 cm	0.125 cm
99	0.049 cm	0.324 cm	0.128 cm
100	0.052 cm	0.322 cm	0.126 cm
101	0.05 cm	0.323 cm	0.129 cm
102	0.053 cm	0.321 cm	0.123 cm
103	0.054 cm	0.32 cm	0.124 cm
104	0.053 cm	0.321 cm	0.127 cm
105	0.055 cm	0.32 cm	0.121 cm
106	0.056 cm	0.319 cm	0.122 cm
107	0.055 cm	0.319 cm	0.125 cm
108	0.057 cm	0.319 cm	0.119 cm
109	0.058 cm	0.318 cm	0.12 cm
110	0.057 cm	0.318 cm	0.122 cm
111	0.06 cm	0.319 cm	0.118 cm
112	0.06 cm	0.318 cm	0.118 cm
113	0.059 cm	0.317 cm	0.121 cm
114	0.061 cm	0.32 cm	0.116 cm
115	0.062 cm	0.319 cm	0.117 cm
116	0.062 cm	0.321 cm	0.115 cm
117	0.063 cm	0.32 cm	0.115 cm
118	0.045 cm	0.328 cm	0.127 cm
119	0.044 cm	0.329 cm	0.126 cm
120	0.046 cm	0.327 cm	0.129 cm
121	0.047 cm	0.326 cm	0.13 cm
122	0.048 cm	0.325 cm	0.131 cm
123	0.049 cm	0.324 cm	0.132 cm
124	0.051 cm	0.322 cm	0.13 cm
125	0.05 cm	0.323 cm	0.132 cm
126	0.053 cm	0.32 cm	0.13 cm
127	0.052 cm	0.322 cm	0.133 cm
128	0.054 cm	0.32 cm	0.127 cm
129	0.055 cm	0.318 cm	0.128 cm
130	0.054 cm	0.319 cm	0.131 cm
131	0.056 cm	0.318 cm	0.125 cm
132	0.057 cm	0.317 cm	0.126 cm
133	0.056 cm	0.317 cm	0.129 cm
134	0.058 cm	0.317 cm	0.123 cm
135	0.059 cm	0.316 cm	0.124 cm
136	0.058 cm	0.316 cm	0.126 cm
137	0.06 cm	0.316 cm	0.121 cm
138	0.061 cm	0.315 cm	0.122 cm
139	0.06 cm	0.314 cm	0.124 cm
140	0.061 cm	0.317 cm	0.119 cm
141	0.062 cm	0.315 cm	0.119 cm
142	0.063 cm	0.318 cm	0.117 cm
143	0.063 cm	0.316 cm	0.118 cm
144	0.064 cm	0.319 cm	0.116 cm
145	0.065 cm	0.317 cm	0.116 cm
146	0.066 cm	0.316 cm	0.116 cm
147	0.064 cm	0.315 cm	0.118 cm
148	0.067 cm	0.311 cm	0.119 cm
149	0.066 cm	0.312 cm	0.119 cm
150	0.067 cm	0.313 cm	0.117 cm
151	0.068 cm	0.312 cm	0.117 cm
152	0.069 cm	0.31 cm	0.117 cm
153	0.068 cm	0.309 cm	0.119 cm
154	0.067 cm	0.308 cm	0.121 cm
155	0.066 cm	0.31 cm	0.121 cm
156	0.069 cm	0.308 cm	0.119 cm
157	0.068 cm	0.307 cm	0.121 cm
158	0.07 cm	0.309 cm	0.118 cm
159	0.07 cm	0.306 cm	0.119 cm
160	0.069 cm	0.305 cm	0.121 cm
161	0.071 cm	0.308 cm	0.118 cm
162	0.071 cm	0.305 cm	0.119 cm
163	0.07 cm	0.304 cm	0.121 cm
164	0.072 cm	0.306 cm	0.118 cm
165	0.072 cm	0.304 cm	0.119 cm
166	0.072 cm	0.302 cm	0.12 cm
167	0.073 cm	0.305 cm	0.118 cm
168	0.074 cm	0.302 cm	0.118 cm
169	0.073 cm	0.301 cm	0.12 cm
170	0.074 cm	0.304 cm	0.117 cm
171	0.075 cm	0.301 cm	0.118 cm
172	0.074 cm	0.3 cm	0.119 cm
173	0.076 cm	0.303 cm	0.117 cm
174	0.076 cm	0.3 cm	0.117 cm
175	0.076 cm	0.298 cm	0.118 cm
176	0.077 cm	0.302 cm	0.116 cm
177	0.078 cm	0.301 cm	0.115 cm
178	0.077 cm	0.299 cm	0.116 cm
179	0.055 cm	0.318 cm	0.131 cm
180	0.055 cm	0.319 cm	0.134 cm
181	0.053 cm	0.32 cm	0.134 cm
182	0.057 cm	0.316 cm	0.132 cm
183	0.056 cm	0.317 cm	0.134 cm
184	0.057 cm	0.316 cm	0.129 cm
185	0.058 cm	0.315 cm	0.129 cm
186	0.058 cm	0.315 cm	0.132 cm
187	0.059 cm	0.314 cm	0.127 cm
188	0.06 cm	0.313 cm	0.127 cm
189	0.06 cm	0.313 cm	0.13 cm
190	0.061 cm	0.313 cm	0.124 cm
191	0.062 cm	0.312 cm	0.125 cm
192	0.061 cm	0.312 cm	0.127 cm
193	0.062 cm	0.313 cm	0.122 cm
194	0.063 cm	0.312 cm	0.122 cm
195	0.063 cm	0.314 cm	0.12 cm
196	0.064 cm	0.313 cm	0.12 cm
197	0.065 cm	0.314 cm	0.118 cm
198	0.065 cm	0.311 cm	0.12 cm
199	0.066 cm	0.314 cm	0.117 cm
200	0.064 cm	0.311 cm	0.123 cm
201	0.065 cm	0.309 cm	0.123 cm
202	0.064 cm	0.309 cm	0.125 cm
203	0.063 cm	0.31 cm	0.125 cm
204	0.066 cm	0.308 cm	0.123 cm
205	0.066 cm	0.307 cm	0.125 cm
206	0.067 cm	0.306 cm	0.123 cm
207	0.067 cm	0.306 cm	0.125 cm
208	0.069 cm	0.305 cm	0.123 cm
209	0.068 cm	0.304 cm	0.125 cm
210	0.07 cm	0.303 cm	0.123 cm
211	0.07 cm	0.302 cm	0.124 cm
212	0.071 cm	0.301 cm	0.122 cm
213	0.071 cm	0.3 cm	0.124 cm
214	0.073 cm	0.3 cm	0.121 cm
215	0.073 cm	0.299 cm	0.123 cm
216	0.074 cm	0.298 cm	0.121 cm
217	0.074 cm	0.297 cm	0.122 cm
218	0.076 cm	0.297 cm	0.119 cm
219	0.076 cm	0.296 cm	0.121 cm
220	0.077 cm	0.296 cm	0.118 cm
221	0.078 cm	0.295 cm	0.12 cm
222	0.077 cm	0.297 cm	0.117 cm
223	0.079 cm	0.297 cm	0.115 cm
224	0.079 cm	0.295 cm	0.117 cm
225	0.079 cm	0.298 cm	0.114 cm
226	0.08 cm	0.297 cm	0.113 cm
227	0.08 cm	0.296 cm	0.114 cm
228	0.079 cm	0.3 cm	0.113 cm
229	0.08 cm	0.299 cm	0.112 cm
230	0.082 cm	0.299 cm	0.111 cm
231	0.082 cm	0.297 cm	0.111 cm
232	0.059 cm	0.313 cm	0.132 cm
233	0.059 cm	0.314 cm	0.135 cm
234	0.058 cm	0.316 cm	0.135 cm
235	0.061 cm	0.312 cm	0.132 cm
236	0.061 cm	0.312 cm	0.135 cm
237	0.061 cm	0.312 cm	0.13 cm
238	0.062 cm	0.31 cm	0.13 cm
239	0.062 cm	0.31 cm	0.132 cm
240	0.063 cm	0.31 cm	0.127 cm
241	0.064 cm	0.309 cm	0.127 cm
242	0.064 cm	0.308 cm	0.13 cm
243	0.065 cm	0.307 cm	0.127 cm
244	0.065 cm	0.307 cm	0.13 cm
245	0.067 cm	0.305 cm	0.127 cm
246	0.066 cm	0.305 cm	0.129 cm
247	0.068 cm	0.303 cm	0.127 cm
248	0.068 cm	0.303 cm	0.129 cm
249	0.069 cm	0.301 cm	0.126 cm
250	0.069 cm	0.301 cm	0.128 cm
251	0.071 cm	0.3 cm	0.126 cm
252	0.071 cm	0.299 cm	0.128 cm
253	0.072 cm	0.298 cm	0.125 cm
254	0.073 cm	0.297 cm	0.127 cm
255	0.074 cm	0.296 cm	0.124 cm
256	0.074 cm	0.295 cm	0.126 cm
257	0.076 cm	0.295 cm	0.123 cm
258	0.076 cm	0.294 cm	0.124 cm
259	0.078 cm	0.294 cm	0.121 cm
260	0.078 cm	0.293 cm	0.123 cm
261	0.079 cm	0.293 cm	0.12 cm
262	0.08 cm	0.292 cm	0.121 cm
263	0.079 cm	0.294 cm	0.118 cm
264	0.081 cm	0.293 cm	0.117 cm
265	0.081 cm	0.292 cm	0.118 cm
266	0.08 cm	0.295 cm	0.115 cm
267	0.082 cm	0.294 cm	0.114 cm
268	0.082 cm	0.293 cm	0.115 cm
269	0.082 cm	0.295 cm	0.113 cm
270	0.083 cm	0.295 cm	0.111 cm
271	0.083 cm	0.294 cm	0.112 cm
272	0.083 cm	0.296 cm	0.11 cm
273	0.085 cm	0.296 cm	0.108 cm
274	0.085 cm	0.295 cm	0.109 cm
275	0.083 cm	0.298 cm	0.109 cm
276	0.084 cm	0.298 cm	0.108 cm
277	0.086 cm	0.297 cm	0.106 cm
278	0.086 cm	0.296 cm	0.107 cm
279	0.064 cm	0.308 cm	0.132 cm
280	0.064 cm	0.308 cm	0.134 cm
281	0.062 cm	0.31 cm	0.135 cm
282	0.065 cm	0.306 cm	0.132 cm
283	0.065 cm	0.306 cm	0.134 cm
284	0.066 cm	0.304 cm	0.132 cm
285	0.066 cm	0.304 cm	0.134 cm
286	0.068 cm	0.302 cm	0.131 cm
287	0.068 cm	0.302 cm	0.133 cm
288	0.069 cm	0.3 cm	0.131 cm
289	0.069 cm	0.3 cm	0.133 cm
290	0.071 cm	0.298 cm	0.13 cm
291	0.071 cm	0.298 cm	0.132 cm
292	0.073 cm	0.296 cm	0.129 cm
293	0.073 cm	0.296 cm	0.13 cm
294	0.075 cm	0.294 cm	0.127 cm
295	0.075 cm	0.294 cm	0.129 cm
296	0.077 cm	0.293 cm	0.126 cm
297	0.077 cm	0.292 cm	0.128 cm
298	0.079 cm	0.292 cm	0.124 cm
299	0.079 cm	0.291 cm	0.126 cm
300	0.081 cm	0.291 cm	0.122 cm
301	0.081 cm	0.29 cm	0.124 cm
302	0.082 cm	0.29 cm	0.121 cm
303	0.083 cm	0.289 cm	0.122 cm
304	0.082 cm	0.291 cm	0.119 cm
305	0.083 cm	0.29 cm	0.117 cm
306	0.084 cm	0.289 cm	0.119 cm
307	0.083 cm	0.292 cm	0.116 cm
308	0.084 cm	0.291 cm	0.114 cm
309	0.085 cm	0.29 cm	0.115 cm
310	0.084 cm	0.292 cm	0.113 cm
311	0.085 cm	0.292 cm	0.111 cm
312	0.086 cm	0.291 cm	0.112 cm
313	0.085 cm	0.293 cm	0.11 cm
314	0.087 cm	0.293 cm	0.109 cm
315	0.087 cm	0.292 cm	0.11 cm
316	0.086 cm	0.294 cm	0.108 cm
317	0.088 cm	0.294 cm	0.106 cm
318	0.088 cm	0.293 cm	0.107 cm
319	0.088 cm	0.296 cm	0.106 cm
320	0.089 cm	0.295 cm	0.104 cm
321	0.09 cm	0.294 cm	0.105 cm
322	0.088 cm	0.297 cm	0.105 cm
323	0.089 cm	0.297 cm	0.104 cm
324	0.086 cm	0.289 cm	0.117 cm
325	0.086 cm	0.288 cm	0.118 cm
326	0.085 cm	0.288 cm	0.12 cm
327	0.087 cm	0.289 cm	0.115 cm
328	0.088 cm	0.288 cm	0.116 cm
329	0.086 cm	0.29 cm	0.113 cm
330	0.088 cm	0.289 cm	0.112 cm
331	0.089 cm	0.288 cm	0.113 cm
332	0.087 cm	0.29 cm	0.111 cm
333	0.089 cm	0.29 cm	0.109 cm
334	0.09 cm	0.289 cm	0.11 cm
335	0.089 cm	0.291 cm	0.108 cm
336	0.09 cm	0.291 cm	0.106 cm
337	0.091 cm	0.29 cm	0.107 cm
